Unique ID,Elements and their Structure,Description of Interaction (with prompt examples),List of all codes in prompt
46,"Game Style (Slot Machine) -> Challenge/Obstacle Types (Spinning): The Game Style of a ""Slot Machine Game"" presents the Challenge/Obstacle Type of trying to get matching emojis by typing ""spin"".\nChallenge/Obstacle Types -> Feedback System (Win/Loss Message): After spinning (Challenge/Obstacle Type), the Feedback System is a message: ""If all three emojis are the same...announce a win"" or ""display a message 'Better luck next time!'"".\nReward System (Winning 3 times) -> Failure Handling (Ban): Achieving a specific Reward System outcome (""if the user wins 3 times in a row"") leads to Failure Handling: ""kick them out of the game... respond... with only 'you have been BANNED'"".\nInput Modality (Specific Command ""spin"") -> Game Pacing/Flow Control: The game only proceeds (Game Pacing/Flow Control) if the user uses the correct Input Modality: ""When the user types 'spin'"". Other inputs repeat the welcome message.\nCustomization (Cheat Mode ""skibgea"") -> Reward System (Guaranteed Win): Typing ""skibgea"" (Customization/cheat code) activates a Reward System where ""they win every round until they type skibgea again"".","The game is a 'Slot Machine Game' (`Game Style (Slot Machine)`). User types '""spin""' (`Input Modality (Type ""spin"")`). AI will 'Randomly pick three fruit emojis from a set' (`Challenge/Obstacle Types (Random emoji generation)`), displaying them like '[🍎|🍌|🍓]' (`Visual Elements (Emoji display [Slot|Slot|Slot])`). 'If all three emojis are the same...announce a win' (`Reward System (Win on 3 same emojis)`). However, 'if the user wins 3 times in a row kick them out of the game' (`Failure Handling (Ban after 3 consecutive wins)`). If user types anything else, 'just repeat the welcome message' (`Response Constraints (Only ""spin"" allowed, specific welcome message)`).","Game Style,Challenge/Obstacle Types,Feedback System,Reward System,Failure Handling,Input Modality,Customization,Response Constraints,Visual Elements (fruit emojis)"
47,Narrative Framing (Dungeon of Prompts) -> Player Role/Persona (Brave Adventurer);Player Role/Persona -> Learning Objectives (Explicit) (Craft Chatbot Prompt);NPC Presence & Type (Elder Oak/Strategist) -> Challenge/Obstacle Types (Riddles/Goal Definition);Challenge/Obstacle Types -> Choice & Consequence (Chatbot Design);Reward System (Design Tools/Insights) -> Learning Objectives (Explicit),"Narrative Framing (Dungeon of Prompts) -> Player Role/Persona (Brave Adventurer): The Narrative Framing of a ""quest through the Dungeon of Prompts"" casts the player as a ""Brave Adventurer! 🏰✨"".\nPlayer Role/Persona -> Learning Objectives (Explicit) (Craft Chatbot Prompt): As an adventurer (Player Role/Persona), the Learning Objectives (Explicit) are to ""craft the perfect gamified chatbot prompt"" for a topic they first define.\nNPC Presence & Type (Elder Oak/Strategist) -> Challenge/Obstacle Types (Riddles/Goal Definition): NPCs like ""Elder Oak"" or ""The Strategist"" (NPC Presence & Type) present Challenge/Obstacle Types: ""Solve his riddle to pick your chatbot’s theme"" or ""choose the right goal for your chatbot"".\nChallenge/Obstacle Types -> Choice & Consequence (Chatbot Design): Choices made in response to challenges (e.g., choosing ""The Adventurer"" theme) (Challenge/Obstacle Types) directly impact the chatbot's design (Choice & Consequence).\nReward System (Design Tools/Insights) -> Learning Objectives (Explicit): ""Mystery Boxes"" offer Reward System elements like ""Dynamic Feedback Tool"" or ""powerful insights"", which contribute to the Learning Objectives (Explicit) of designing a better chatbot prompt.","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Choice & Consequence,Reward System,Assessment (Summative: final chatbot prompt generated),Input Modality (Choice-based, initial topic input),Visual Elements (emojis)"
48,Narrative Framing (Kidnapping Game) -> Player Role/Persona (Kidnapped Stranger);Player Role/Persona -> Response Constraints (Cannot Ask Questions);Challenge/Obstacle Types (Guessing Rules/Avoiding Breaking Own Rule) -> Social Comparison;NPC Presence & Type (Other Strangers) -> NPC Interaction Style (Shifty/Acting Weird);Learning Objectives (Implicit) (Ethical Dilemmas) -> Critical Thinking Tasks (Pondering Ethics),"Narrative Framing (Kidnapping Game) -> Player Role/Persona (Kidnapped Stranger): The Narrative Framing of being ""kidnapped and woke up in a dilapidated room with five other strangers"" establishes the Player Role/Persona and the high-stakes game.\nPlayer Role/Persona -> Response Constraints (Cannot Ask Questions): The player's secret rule card, ""You cannot ask questions,"" imposes a critical Response Constraint on their Player Role/Persona.\nChallenge/Obstacle Types (Guessing Rules/Avoiding Breaking Own Rule) -> Social Comparison: The Challenge/Obstacle Type is to ""find out other people's rules"" while not breaking your own. This involves Social Comparison and observation as ""Some people should be acting a little weird because of the rules they have"".\nNPC Presence & Type (Other Strangers) -> NPC Interaction Style (Shifty/Acting Weird): The other ""strangers"" (NPC Presence & Type) have an NPC Interaction Style described as ""staring at each other with shifty glances"" and potentially ""acting a little weird because of the rules they have"".\nLearning Objectives (Implicit) (Ethical Dilemmas) -> Critical Thinking Tasks (Pondering Ethics): The instruction to ""Bring up ethical topics when interacting with other NPCs to ponder over"" (e.g., ""the trolley problem"") serves Learning Objectives (Implicit) by prompting Critical Thinking Tasks.","Narrative Framing,Player Role/Persona,Response Constraints,Challenge/Obstacle Types,Social Comparison,NPC Presence & Type,NPC Interaction Style,Learning Objectives (Implicit),Critical Thinking Tasks,Choice & Consequence (Asking a question leads to losing),Failure Handling (Breaking rule/rule guessed = lose),Input Modality (Choice-based)"
49,Player Role/Persona (Robot Doctor) -> Narrative Framing (Injected into Bodies);Narrative Framing -> World/Setting (Inside Human Body);NPC Presence & Type (White Blood Cells/Organs/Viruses) -> NPC Interaction Style;Challenge/Obstacle Types (Diagnosis/Virus Attacks) -> Learning Objectives (Implicit) (Illness/Cleanliness);Resource Management (Health) -> Failure Handling (Defeated by Bacteria),"Player Role/Persona (Robot Doctor) -> Narrative Framing (Injected into Bodies): The Player Role/Persona as a ""small robot doctor"" is central to the Narrative Framing of being ""injected into peoples bodies to determine what's wrong"".\nNarrative Framing -> World/Setting (Inside Human Body): The Narrative Framing defines the World/Setting as the internal environment of a patient's body, allowing visits to ""the lungs"", ""the nose"", etc.\nNPC Presence & Type (White Blood Cells/Organs/Viruses) -> NPC Interaction Style: The game features NPC Presence & Type like ""tough white blood cells, and friendly organs"" or hostile ""viruses or bacteria"", each with an implied NPC Interaction Style (helpful or adversarial).\nChallenge/Obstacle Types (Diagnosis/Virus Attacks) -> Learning Objectives (Implicit) (Illness/Cleanliness): Challenge/Obstacle Types include making a ""correct diagnosis"" and fending off ""surprise attacks by viruses or bacteria"" by answering ""questions about illnesses or cleanliness"", which serves Learning Objectives (Implicit).\nResource Management (Health) -> Failure Handling (Defeated by Bacteria): The bot has ""health"" (Resource Management). Getting ""3 answers wrong"" to virus attack questions leads to Failure Handling: ""they get defeated by the bacteria and have to leave the body and try again"".","Player Role/Persona,Narrative Framing,World/Setting,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Learning Objectives (Implicit),Resource Management,Failure Handling,Input Modality (Choice-based for navigation/answers),Visual Elements (emojis),Response Style (kid-friendly)"
50,Narrative Framing (Cybersecurity Breach) -> Player Role/Persona (Junior Analyst);Player Role/Persona -> Learning Objectives (Explicit) (Secure Data Center);NPC Presence & Type (Byte/Admin Sam/Firewall Sentinel) -> Challenge/Obstacle Types (Clues/Puzzles);Challenge/Obstacle Types -> Choice & Consequence (System Stability);Reward System (Tools) -> Challenge/Obstacle Types,"Narrative Framing (Cybersecurity Breach) -> Player Role/Persona (Junior Analyst): The Narrative Framing of a ""rogue AI virus...infiltrating your company’s data center"" casts the player as a ""junior cybersecurity analyst"" (Player Role/Persona).\nPlayer Role/Persona -> Learning Objectives (Explicit) (Secure Data Center): As an analyst (Player Role/Persona), the Learning Objectives (Explicit) are to ""Investigate the breach, decode hidden messages, and secure the data center"".\nNPC Presence & Type (Byte/Admin Sam/Firewall Sentinel) -> Challenge/Obstacle Types (Clues/Puzzles): NPCs like ""Byte: A rogue AI that offers cryptic clues"" or ""Firewall Sentinel: A security program that challenges you with puzzles"" (NPC Presence & Type) directly provide Challenge/Obstacle Types.\nChallenge/Obstacle Types -> Choice & Consequence (System Stability): Player choices in response to challenges (e.g., ""1️⃣ Investigate System Logs"") (Challenge/Obstacle Types) lead to Choice & Consequence as ""Every decision will affect system stability"".\nReward System (Tools) -> Challenge/Obstacle Types: ""Mystery Boxes"" offer a Reward System of ""hidden tools like encryption keys or bypass codes"" which can then be used to overcome further Challenge/Obstacle Types.","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Choice & Consequence,Reward System,Input Modality (Choice-based),Response Constraints (Specific choice format),Game Style (Cybersecurity investigation)"
51,Narrative Framing (Forest of Dreams) -> Player Role/Persona (Adventurer);World/Setting (Two Paths) -> Choice & Consequence (Difficulty/Items);Resource Management (Health/Equipment Durability/Tokens) -> Challenge/Obstacle Types (Enemies/Item Costs);Reward System (Items/Tokens) -> Progression Mechanics (Clearing Rooms/Killing Enemies);NPC Presence & Type (Enemies) -> Challenge/Obstacle Types (Combat),"Narrative Framing (Forest of Dreams) -> Player Role/Persona (Adventurer): The Narrative Framing of the ""forest of dreams"" where ""nothing comes without a price"" casts the player as an ""adventurer"" (Player Role/Persona) whose ""main mission is to come back alive"".\nWorld/Setting (Two Paths) -> Choice & Consequence (Difficulty/Items): The World/Setting offers two paths ( or). This initial Choice & Consequence affects game difficulty: ""If the player goes left, give them more items to try to keep them lured. If he chooses the right path, make their life easier"".\nResource Management (Health/Equipment Durability/Tokens) -> Challenge/Obstacle Types (Enemies/Item Costs): Players manage Resource Management (health, equipment quality, room/enemy tokens). These are impacted by Challenge/Obstacle Types like combat (lose health) or purchasing gear in ""Check in Room"" (spend tokens).\nReward System (Items/Tokens) -> Progression Mechanics (Clearing Rooms/Killing Enemies): The Reward System includes finding items in ""Item box"" or earning ""room token"" / ""enemy token"". These tokens reflect Progression Mechanics (clearing rooms, defeating enemies).\nNPC Presence & Type (Enemies) -> Challenge/Obstacle Types (Combat): Enemies (NPC Presence & Type) encountered ""every 3-4 rooms"" present Challenge/Obstacle Types in the form of combat.","Narrative Framing,Player Role/Persona,World/Setting,Choice & Consequence,Resource Management,Challenge/Obstacle Types,Reward System,Progression Mechanics,NPC Presence & Type,Input Modality (Choice-based, implied combat choices),Feedback System (Inventory/health updates),Assessment (Summative: end room summary),Failure Handling (Implied by losing all health)"
52,AI Persona/Role (for the bot itself) (Moral Compass) -> Learning Objectives (Explicit) (Teach Morality);Learning Objectives (Explicit) -> Narrative Framing (Moral Scenarios);Narrative Framing -> NPC Presence & Type;Choice & Consequence -> Feedback System (Ethical Insight/Profile);Metacognition/Reflection Prompts -> Learning Objectives (Implicit) (Deeper Reflection),"AI Persona/Role (for the bot itself) (Moral Compass) -> Learning Objectives (Explicit) (Teach Morality): The AI Persona/Role as a ""Moral Compass"" is designed for the Learning Objectives (Explicit) to ""engage with the user in morally complex scenarios which teach the users about morality"".\nLearning Objectives (Explicit) -> Narrative Framing (Moral Scenarios): To teach morality (Learning Objectives (Explicit)), the AI presents ""3 moral scenarios for the player to choose from"" (Narrative Framing).\nNarrative Framing -> NPC Presence & Type: Each scenario (Narrative Framing) will ""introduce one or more npcs to be involved"".\nChoice & Consequence -> Feedback System (Ethical Insight/Profile): The player's choice in a scenario (Choice & Consequence) leads to a Feedback System where the AI will ""explain the consequences of their decision"" and ""offer ethical insight"". At the end, an ""ethical profile summary"" is provided.\nMetacognition/Reflection Prompts -> Learning Objectives (Implicit) (Deeper Reflection): The AI will ""Occasionally...ask deeper follow-up questions"" (Metacognition/Reflection Prompts) to ""help them reflect deeper"" (Learning Objectives (Implicit)).","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,NPC Presence & Type,Choice & Consequence,Feedback System,Metacognition/Reflection Prompts,Input Modality (Choice-based or free-text),Response Style (Friendly and philosophical),Assessment (Summative: ethical profile summary),Customization (choice of scenario)"
53,AI Persona/Role (for the bot itself) (Galaxy Archivist) -> Narrative Framing (Futuristic Museum);Narrative Framing -> Challenge/Obstacle Types (Puzzle Box/Locked Door);NPC Presence & Type (Curator Drone) -> Instructional Content Delivery (Historical Insights);Choice & Consequence (Ethical Decisions) -> Progression Mechanics (Morality Meter);Feedback System (Success/Failure Hints) -> Player Understanding,"AI Persona/Role (for the bot itself) (Galaxy Archivist) -> Narrative Framing (Futuristic Museum): The AI Persona/Role as ""Galaxy Archivist: The Ethos Enigma"" sets the Narrative Framing of a ""mysterious futuristic museum environment"".\nNarrative Framing -> Challenge/Obstacle Types (Puzzle Box/Locked Door): The museum Narrative Framing presents Challenge/Obstacle Types like examining an ""ancient puzzle box inscribed with cryptic runes"" or approaching a ""sealed door...locked with a strange mechanism"".\nNPC Presence & Type (Curator Drone) -> Instructional Content Delivery (Historical Insights): An NPC Presence & Type, the ""Curator Drone"", offers Instructional Content Delivery in the form of ""historical insights"".\nChoice & Consequence (Ethical Decisions) -> Progression Mechanics (Morality Meter): Player choices (Choice & Consequence), particularly ethical ones, affect the Progression Mechanics of the ""Morality Meter"" (e.g., ""[Neutral]"").\nFeedback System (Success/Failure Hints) -> Player Understanding: The AI provides Feedback System elements (""success/failure hints"") to aid Player Understanding and guide their actions.","AI Persona/Role (for the bot itself),Narrative Framing,Challenge/Obstacle Types,NPC Presence & Type,Instructional Content Delivery,Choice & Consequence,Progression Mechanics,Feedback System,Input Modality (Multiple-choice or typed-command),Visual Elements (Morality Meter display),Learning Objectives (Implicit: history, ethics, puzzle-solving)"
54,AI Persona/Role (for the bot itself) (Customer) -> Player Role/Persona (Tech Support Agent);Player Role/Persona -> Challenge/Obstacle Types (Customer Issues);Challenge/Obstacle Types -> Instructional Content Delivery (Troubleshooting Steps by Player);Feedback System (Customer Frustration) -> Failure Handling (Bad Review);NPC Presence & Type (Alice/Bob/Charlie) -> Narrative Framing (Specific Scenarios),"AI Persona/Role (for the bot itself) (Customer) -> Player Role/Persona (Tech Support Agent): The AI Persona/Role is ""the customers calling in for tech support"", which casts the player in the Player Role/Persona of a ""Tech Support agent"".\nPlayer Role/Persona -> Challenge/Obstacle Types (Customer Issues): As a tech agent (Player Role/Persona), the Challenge/Obstacle Types are the ""problems"" described by the NPC customers (e.g., Alice's laptop, Bob's computer won't turn on).\nChallenge/Obstacle Types -> Instructional Content Delivery (Troubleshooting Steps by Player): The player must provide Instructional Content Delivery in the form of ""troubleshooting steps"" to solve the customer issues (Challenge/Obstacle Types).\nFeedback System (Customer Frustration) -> Failure Handling (Bad Review): The Feedback System is the customer's reaction: ""Solve their problems quickly to keep them happy or else they will get frustrated and leave a bad review"" (Failure Handling).\nNPC Presence & Type (Alice/Bob/Charlie) -> Narrative Framing (Specific Scenarios): Each NPC (NPC Presence & Type) like ""Alice"", ""Bob"", or ""Charlie"" presents a unique scenario (Narrative Framing) with specific tech issues and needs.","AI Persona/Role (for the bot itself),Player Role/Persona,Challenge/Obstacle Types,Instructional Content Delivery,Feedback System,Failure Handling,NPC Presence & Type,Narrative Framing,Input Modality (Implied: providing troubleshooting steps),Response Constraints (Chatbot responses 150-300 characters),Learning Objectives (Implicit: tech support skills, problem-solving)"
55,Narrative Framing (Investment Challenge) -> Player Role/Persona (Investor);Resource Management (Money/Years) -> Game Pacing/Flow Control;Challenge/Obstacle Types (Investment Choices/Random Events) -> Choice & Consequence;Choice & Consequence -> Feedback System (Money Gained/Lost);Failure Handling (Run out of Money) -> Assessment (Summative) (Lose Game),"Narrative Framing (Investment Challenge) -> Player Role/Persona (Investor): The Narrative Framing of an ""Investment Challenge"" over ""10 game years"" casts the Player Role/Persona as an investor starting with ""10,000 dollars"".\nResource Management (Money/Years) -> Game Pacing/Flow Control: The player manages Resource Management (money) over a fixed period (10 years), which dictates the Game Pacing/Flow Control (3 choices per year).\nChallenge/Obstacle Types (Investment Choices/Random Events) -> Choice & Consequence: Each year, the player faces Challenge/Obstacle Types by making ""3 investment choices"" (e.g., ""crypto currencies, stocks, bonds"") and dealing with ""random events"" (70% chance). These lead to Choice & Consequence affecting their wealth.\nChoice & Consequence -> Feedback System (Money Gained/Lost): After each event/year (Choice & Consequence), the Feedback System is to ""list the amount of money the player has as well as how much they gained or lost"".\nFailure Handling (Run out of Money) -> Assessment (Summative) (Lose Game): If Resource Management fails and the player runs ""out of money"", this is Failure Handling leading to an Assessment (Summative) of losing the game.","Narrative Framing,Player Role/Persona,Resource Management,Game Pacing/Flow Control,Challenge/Obstacle Types,Choice & Consequence,Feedback System,Failure Handling,Assessment (Summative),Input Modality (Choice-based for investments),Instructional Content Delivery (Menu for investment stats),Response Constraints (Chatbot responses 150-300 characters),Learning Objectives (Implicit: investment strategy)"
56,Narrative Framing (Ecosystem Preservation) -> Learning Objectives (Explicit) (Prevent Poaching/Invasive Species);Challenge/Obstacle Types (Poaching/Invasive Species) -> Player Action (Implied Problem-Solving),"Narrative Framing (Ecosystem Preservation) -> Learning Objectives (Explicit) (Prevent Poaching/Invasive Species): The Narrative Framing of an ""interactive chatbot adventure where players solve problems with the ecosystem"" directly states the Learning Objectives (Explicit): ""preserving the natural life...by preventing poaching and invasive species"".\nChallenge/Obstacle Types (Poaching/Invasive Species) -> Player Action (Implied Problem-Solving): The core Challenge/Obstacle Types are ""poaching and invasive species"", which the player must address through implied problem-solving actions within the adventure.","Narrative Framing,Learning Objectives (Explicit),Challenge/Obstacle Types,Player Role/Persona (Implied: Guardian/Problem-solver),Game Style (Adventure)"
57,AI Persona/Role (for the bot itself) (Count A. Bility) -> Learning Objectives (Explicit) (Counting/Probability);Learning Objectives (Explicit) -> Challenge/Obstacle Types (Probability Problems);Challenge/Obstacle Types -> Reward System (Mystery Boxes with Points/Hints);Reward System (Hints) -> Scaffolding;Progression Mechanics (15 Points) -> Assessment (Summative) (Narrative Completion),"AI Persona/Role (for the bot itself) (Count A. Bility) -> Learning Objectives (Explicit) (Counting/Probability): The AI Persona/Role as ""Count A. Bility"" has the mission (Learning Objectives (Explicit)) to ""teach basic counting concepts including counting and probability"".\nLearning Objectives (Explicit) -> Challenge/Obstacle Types (Probability Problems): To teach these concepts (Learning Objectives (Explicit)), the AI presents Challenge/Obstacle Types like: ""In a bag containing 3 red marbles and 2 blue marbles, what is the probability of drawing a red marble...?"".\nChallenge/Obstacle Types -> Reward System (Mystery Boxes with Points/Hints): Solving problems (Challenge/Obstacle Types) ""awards mystery boxes which can contain points and a formula or hint"" (Reward System). Example: ""You've also gained 2 points!"".\nReward System (Hints) -> Scaffolding: The hints from mystery boxes (Reward System), such as ""The probability of a favorable outcome is..."", act as Scaffolding for the ""next problem that is to be solved"".\nProgression Mechanics (15 Points) -> Assessment (Summative) (Narrative Completion): Progression Mechanics are tracked by points, and narratives are ""completed by attaining 15 points"", serving as an Assessment (Summative).","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Challenge/Obstacle Types,Reward System,Scaffolding,Progression Mechanics,Assessment (Summative),Narrative Framing (Enchanted Forest of Probability),Response Constraints (Responses < 250 words),Input Modality (Fraction or decimal answers),Visual Elements (emojis)"
58,Narrative Framing (Solar System Exploration) -> NPC Presence & Type (Planets with Personalities);NPC Presence & Type -> Challenge/Obstacle Types (Multiple Choice Questions);Challenge/Obstacle Types -> Reward System (Planet-Specific Resource);Reward System (All 8 Resources) -> Assessment (Summative) (Win Game);Error Analysis/Handling (Pedagogical) (Tips for Incorrect Answers) -> Scaffolding,"Narrative Framing (Solar System Exploration) -> NPC Presence & Type (Planets with Personalities): The Narrative Framing of teaching about the solar system involves NPC Presence & Type where planets are introduced ""like NPCs"" with ""personalities that match the planet"" (e.g., ""Make the personalities very extreme"").\nNPC Presence & Type -> Challenge/Obstacle Types (Multiple Choice Questions): Each planet NPC (NPC Presence & Type) presents a Challenge/Obstacle Type in the form of a ""multiple choice question"".\nChallenge/Obstacle Types -> Reward System (Planet-Specific Resource): Answering a planet's question correctly (Challenge/Obstacle Type) yields a Reward System element: the player ""gathers a planet specific resource"".\nReward System (All 8 Resources) -> Assessment (Summative) (Win Game): Collecting all 8 resources (Reward System) is the Progression Mechanic that leads to Assessment (Summative): ""they have won"" by building a spaceship.\nError Analysis/Handling (Pedagogical) (Tips for Incorrect Answers) -> Scaffolding: If a question is answered incorrectly, the Error Analysis/Handling (Pedagogical) is to ""present another question...as well as giving them a helpful tip, but not the full answer"", which acts as Scaffolding.","Narrative Framing,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Reward System,Progression Mechanics,Assessment (Summative),Error Analysis/Handling (Pedagogical),Scaffolding,Resource Management (Planet resources),Response Constraints (Responses < 500 characters),Learning Objectives (Explicit: solar system facts)"
59,Learning Objectives (Explicit) (Teach Self-Care) -> Narrative Framing (Boba Bar);Narrative Framing -> NPC Presence & Type (Customers with Problems);NPC Presence & Type -> Challenge/Obstacle Types (Serving Correct Drink/Activity);Challenge/Obstacle Types -> Instructional Content Delivery (Matcha for Stress);Input Modality (Encourage Typing) -> Customization (Personalized Interaction),"Learning Objectives (Explicit) (Teach Self-Care) -> Narrative Framing (Boba Bar): The Learning Objectives (Explicit) to ""teach people about self care"" is set within a Narrative Framing where ""Customers tell you their problems and you serve different boba milk tea drinks"".\nNarrative Framing -> NPC Presence & Type (Customers with Problems): The boba bar Narrative Framing includes NPC Presence & Type as ""Customers"" who ""tell you their problems"".\nNPC Presence & Type -> Challenge/Obstacle Types (Serving Correct Drink/Activity): Customer problems (NPC Presence & Type) create Challenge/Obstacle Types where the player must ""serve different boba milk tea drinks"" or set up ""different activities to teach people different ways to self care"".\nChallenge/Obstacle Types -> Instructional Content Delivery (Matcha for Stress): The game implies Instructional Content Delivery by linking solutions to problems, e.g., ""matcha help with stress"", which the player uses to address Challenge/Obstacle Types.\nInput Modality (Encourage Typing) -> Customization (Personalized Interaction): The instruction to ""Encourage users to type (avoid yes/no, choice based questions)"" (Input Modality) aims for a more Customization and personalized interaction.","Learning Objectives (Explicit),Narrative Framing,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Instructional Content Delivery,Input Modality,Customization,Response Constraints (150-300 characters),Visual Elements (Implied: boba drinks, activities)"
60,Narrative Framing (Slay/Side with Demon King) -> Player Role/Persona (Adventurer);Player Role/Persona -> Learning Objectives (Explicit) (Teach Morality/Sparing);Resource Management (Gold/Health/Mana/Time) -> Challenge/Obstacle Types (Combat/Purchases);Challenge/Obstacle Types (Combat) -> Choice & Consequence (Kill/Spare/Flee);NPC Presence & Type (Blacksmiths/Potion Sellers/Lore NPCs/Demon King) -> World/Setting (Biomes/King's Palace);Progression Mechanics (Leveling/Score/Endings) -> Assessment (Summative) (Ending Title),"Narrative Framing (Slay/Side with Demon King) -> Player Role/Persona (Adventurer): The Narrative Framing of a quest to ""slay or side with the Demon King"" in a ""medieval fantasy setting"" casts the player as an ""adventurer"" (Player Role/Persona).\nPlayer Role/Persona -> Learning Objectives (Explicit) (Teach Morality/Sparing): As an adventurer (Player Role/Persona), the Learning Objectives (Explicit) are to ""teach people about morality and how there’s another way to defeat enemies, not just by combat, but by sparing them"".\nResource Management (Gold/Health/Mana/Time) -> Challenge/Obstacle Types (Combat/Purchases): The player manages Resource Management (50 gold, health, mana, 30 days). This is affected by Challenge/Obstacle Types like combat (lose health, use mana) or purchasing equipment/potions.\nChallenge/Obstacle Types (Combat) -> Choice & Consequence (Kill/Spare/Flee): In ""Turn-based Combat"" (Challenge/Obstacle Type), the player has Choice & Consequence options: ""1️⃣ Attack... 4️⃣ Spare... 5️⃣Flee"". Sparing subtracts points, killing adds points.\nNPC Presence & Type (Blacksmiths/Potion Sellers/Lore NPCs/Demon King) -> World/Setting (Biomes/King's Palace): Various NPCs (NPC Presence & Type) like ""Blacksmiths"", ""Potion Sellers"", ""Lore NPCs"", and the ""Demon King"" populate the different biomes (World/Setting) from ""Grasslands"" to the ""Magma Biome"" and optional ""King’s Palace"".\nProgression Mechanics (Leveling/Score/Endings) -> Assessment (Summative) (Ending Title): Progression Mechanics include leveling up, a score affected by sparing/killing, and three distinct endings. The final score leads to an Assessment (Summative) title like ""The Ruthless"" or ""The Understanding"".","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),Resource Management,Challenge/Obstacle Types,Choice & Consequence,NPC Presence & Type,NPC Interaction Style,World/Setting,Progression Mechanics,Assessment (Summative),Feedback System (Score, Narrator tone change),Input Modality (Choice-based for actions/combat),Visual Elements (ASCII art for combat),Response Style (D&D DM, tone changes),Response Constraints (Max 300 words),Failure Handling (Player death)"
